targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.3558,11.3117
1,1,8,0,3.31459,10.9913
3,0,39,1,3.31968,11.0272
0,1,8,0,3.4159,11.8061
0,1,20,0,3.45428,12.1109
2,0,39,1,3.36316,11.3479
1,1,8,0,3.33631,11.1384
2,0,39,1,3.31309,10.9932
3,0,39,1,3.5959,13.3258
3,1,20,0,3.54588,12.8746
2,1,16,0,3.39535,11.6473
3,0,39,1,3.47126,12.2097
0,1,8,0,3.58004,13.1001
0,1,8,0,3.53977,12.6963
1,1,8,0,3.4134,11.7478
3,1,20,0,3.38761,11.5596
2,1,27,0,3.45057,12.0111
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.24982,10.5703
1,1,8,0,3.26822,10.6855
3,0,39,1,3.2743,10.7281
0,1,8,0,3.25974,10.6358
0,1,20,0,3.30736,10.9477
2,0,39,1,3.41588,11.7253
1,1,8,0,3.23598,10.4742
2,0,39,1,3.29497,10.873
3,0,39,1,3.34084,11.1715
3,1,20,0,3.26816,10.6845
2,1,16,0,3.3026,10.9289
3,0,39,1,3.35747,11.3192
0,1,8,0,3.29786,10.8844
0,1,8,0,3.25932,10.6272
1,1,8,0,3.23075,10.4389
3,1,20,0,3.26625,10.6735
2,1,27,0,3.3071,10.9446
2,1,16,0,3.34878,11.2342
2,0,39,1,3.32925,11.1156
1,0,39,0,3.30055,10.9004
1,1,8,0,3.34358,11.2303
1,1,8,0,3.26366,10.6533
0,1,8,0,3.35735,11.278
3,0,39,1,3.36104,11.3114
2,0,39,1,3.33662,11.167
1,1,27,0,3.34367,11.2079
2,1,22,0,3.39669,11.5823
1,1,16,0,3.31792,11.0375
3,0,39,1,3.30115,10.9084
4,0,39,1,3.28482,10.7953
2,0,39,1,3.31836,11.0192
1,1,16,0,3.2904,10.8471
1,1,16,0,3.28249,10.7814
2,1,27,0,3.31798,11.0181
2,0,39,1,3.4525,11.9564
2,1,16,0,3.40002,11.5992
3,0,39,1,3.54142,12.6293
0,1,8,0,3.73235,14.0593
1,1,27,0,3.79348,14.6231
4,0,39,1,3.71662,14.6116
2,1,22,0,3.41765,11.7171
0,1,8,0,3.29962,10.9172
3,0,39,1,3.49518,12.2626
0,1,1,0,3.27057,10.6967
4,0,39,1,3.80769,15.2963
1,1,22,0,3.78286,14.6757
2,0,39,1,4.06843,16.9857
1,0,39,0,3.8257,14.8546
0,1,20,0,4.00718,16.2657
0,1,8,0,4.11224,17.0688
3,0,39,1,3.32214,11.0437
2,1,16,0,3.3849,11.5544
1,1,8,0,3.88207,15.4198
3,1,27,0,3.42479,11.8523
2,0,39,1,3.42458,11.7589
0,1,8,0,3.55713,12.7663
2,1,27,0,3.54783,12.6811
1,0,39,0,3.53449,12.6244
2,1,16,0,3.25683,10.6138
1,1,16,0,3.44826,12.006
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.68037,14.3858
1,1,8,0,3.63539,13.6611
3,0,39,1,3.3414,11.187
0,1,8,0,3.20577,10.2827
0,1,20,0,3.46905,12.1205
2,0,39,1,3.49739,12.4151
1,1,8,0,3.32278,11.0478
2,0,39,1,3.33447,11.1274
3,0,39,1,3.34163,11.173
3,1,20,0,3.27409,10.7227
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.21497,10.3449
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.48556,12.4119
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,7.18339,51.979
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.41911,11.8596
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.26287,10.6499
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.37416,11.5037
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.19571,10.2164
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.51935,12.7538
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.3601,11.3534
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.27872,10.7805
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.42906,11.9891
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,3.52858,12.6779
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
2,0,39,1,3.29148,10.9083
